Country,Region,Status,Primary Mirror,All Mirror URLs
Algeria,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Angola,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Benin,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Botswana,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Cameroon,Africa,Available,https://1xbet.cm,"https://1xbet.cm, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Chad,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Congo,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Egypt,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Ghana,Africa,Available,https://1xbet.com.gh,"https://1xbet.com.gh, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Kenya,Africa,Available,https://1xbet.co.ke,"https://1xbet.co.ke, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Madagascar,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Malawi,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Mali,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Morocco,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Mozambique,Africa,Available,https://1xbet.co.mz,"https://1xbet.co.mz, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Namibia,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Nigeria,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Senegal,Africa,Available,https://1xbet.sn,"https://1xbet.sn, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
South Africa,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Tanzania,Africa,Available,https://1xbet.tz,"https://1xbet.tz, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Uganda,Africa,Available,https://1xbet.ug,"https://1xbet.ug, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Zambia,Africa,Available,https://1xbet.co.zm,"https://1xbet.co.zm, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Zimbabwe,Africa,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Argentina,Americas,Available,https://1xbet.com.ar,"https://1xbet.com.ar, https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
Bolivia,Americas,Available,https://sa.1xbet.com,"https://sa.1xbet.com, https://1xbet.lat, https://1xbet.com, https://1xbet.mobi"
